"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"202","bbn-bv.nl",1,1,154,1,0.961038961038961,0.038961038961039,0,0,0,0,1
"203","bbserv.nl",505,505,68633,1,0,0,0,0,0,0,0
"204","bd-pd.nl",1,1,29,1,1,0,1,0,0,0,1
"205","be-da.mk",1,1,1,1,0,0,1,1,0,0,0
"206","be-one.nl",1,1,204,1,0,0,0,0,0,1,0
"207","beekman.nl",1,1,197,1,1,0,0,0,0,0,1
"208","beelaertsict.nl",1,2,76,0.75,1,0,0,0,0,0,1
"209","beeldenmarkt.nl",1,1,194,1,1,0,0,0,0,0,1
"210","befashionvictim.com",1,1,205,1,1,0,0,1,0,0,0
"211","beheervanderloo.nl",1,1,200,1,1,0,0,1,0,0,0
"212","belapika.si",1,1,165,1,1,0,0,1,0,0,0
"213","belkinylogas.com",1,1,198,1,1,0,0,0,0,0,1
"214","bemeco.nl",1,1,81,1,0.901234567901235,0.0987654320987654,0,0,0,0,1
"215","bemorail.nl",1,1,205,1,0,0,0,0,0,1,0
"216","benerink.nl",1,1,141,1,0.914893617021277,0.0851063829787234,0,0,0,0,1
"217","benessere.website",1,1,1,1,1,0,0,0,0,0,1
"218","beren.nl",1,1,204,1,0.941176470588235,0,0,0,0,0.0588235294117647,0.941176470588235
"219","besseling-group.com",1,1,153,1,1,0,0,0,0,0,1
"220","best-coupondiscount.com",4,4,112,1,0.919642857142857,0,0,1,0,0,0
"221","bestpromoeverr.com",5,5,34,1,0.911764705882353,0,0,1,0,0,0
"222","beveco.nl",1,1,204,1,0.906862745098039,0.0931372549019608,0,0,0,0,1
"223","beverageconcepts.nl",1,1,207,1,0,0,0,0.985507246376812,0.985507246376812,0.0144927536231884,0
"224","bfsystemen.nl",1,1,202,1,0.856435643564356,0.143564356435644,0,0,0,0,1
"225","bganglobal.net",2,2,205,1,1,0,0,1,0,0,0
"226","bganglobalnet.net",1,2,303,0.547854785478548,1,0,0,0,0,0,1
"227","bhost.net",1,1,205,1,1,0,0,0,0,0,1
"228","bi3oshra.trade",1,5,5,0.4,0,0,0,1,1,0,0
"229","bies.nl",1,1,194,1,0.850515463917526,0.149484536082474,0,0,0,0,1
"230","bigbaddutchman.net",1,1,201,1,1,0,0,0,0,0,1
"231","bigdealo.com",1,1,1,1,1,0,0,1,0,0,0
"232","bikube.nl",1,1,211,1,1,0,1,0,0,0,1
"233","bintube.com",1,2,409,0.523227383863081,0,0,0,1,0,0,0
"234","bioderij.nl",1,1,205,1,1,0,1,0,0,0,1
"235","bit.nl",23,24,2191,1,0,0,0,0,0,0,0
"236","bitcom.nl",1,1,84,1,0.857142857142857,0.142857142857143,0,0,0,0,1
"237","bitency.net",1,3,398,0.530150753768844,0.655778894472362,0,0,0.474874371859296,0,0.344221105527638,0.180904522613065
"238","bitlibre.net",1,1,206,1,1,0,0,0,0,0,1
"239","bjvh.nl",1,1,146,1,0.746575342465753,0.253424657534247,0,0,0,0,1
"240","blackgate.nl",35,35,5723,1,0.8338284116722,0,0,0,0,0,0
"241","blackoakcomputers.com",7,7,568,1,1,0,0,0,0,0,0
"242","blazingfast.io",1,1,6,1,0,0,0,1,0,0,0
