"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"456","digiservers.nl",1,1,212,1,0,1,0,0,0,0,1
"457","digitalwanderlust.nl",1,1,170,1,1,0,0,1,0,0,0
"458","digris.ch",1,1,12,1,0,0,0,0,0,1,0
"459","dijkmabv.com",1,1,207,1,1,0,0,1,0,0,0
"460","direct-admin-server.com",1,3,554,0.389891696750903,0,0,0,0.998194945848375,0.998194945848375,0.00180505415162455,0
"461","direct-adsl.nl",910,913,64418,0.995001397125027,0,0,0,0,0,0,0
"462","directvps.nl",2,2,207,1,0,0,0,1,0,0,0
"463","disampro.nl",1,1,12,1,1,0,0,1,0,0,0
"464","displayconcepts.nl",1,1,192,1,0.953125,0.046875,0,0,0,0,1
"465","divaco.com",1,1,201,1,1,0,0,0,0,0,1
"466","dkhn.nl",1,1,89,1,0.0112359550561798,0,1,0,0,0,1
"467","dlili7a.faith",1,1,1,1,0,0,0,1,1,0,0
"468","dn-market.ru",1,1,210,1,0,0,0,1,1,0,0
"469","dnazone.net",5,5,975,1,0,0,0,1,1,0,0
"470","dnsname.nl",2,4,16,0.9375,0,0,1,1,0,0,0
"471","docsdeals.trade",1,1,1,1,0,0,0,1,1,0,0
"472","doesburg-transport.nl",1,1,119,1,1,0,0,0,0,0,1
"473","dogroep.nl",1,1,201,1,1,0,0,0,0,0,1
"474","doict4u.nl",1,1,154,1,1,0,1,0,0,0,1
"475","dolmanbeheer.nl",1,1,185,1,0.945945945945946,0.0540540540540541,0,0,0,0,1
"476","domino-ict.nl",2,2,41,1,0,0,1,0,0,0,1
"477","donck.com",1,1,146,1,0,0,0,0,0,1,0
"478","donnay.nl",1,1,120,1,0.883333333333333,0.116666666666667,0,0,0,0,1
"479","dorned.nl",1,1,77,1,0.883116883116883,0.103896103896104,0,0,0,0.012987012987013,0.987012987012987
"480","dorrestijn.com",1,1,36,1,1,0,0,1,0,0,0
"481","dotcombusiness.nl",1,1,207,1,1,0,0,0,0,0,1
"482","dpdk.com",1,1,203,1,0,0,0,0,0,1,0
"483","drawlaps.trade",1,1,1,1,0,0,0,1,1,0,0
"484","drawnacy.com",3,3,3,1,0,0,1,1,0,0,0
"485","drivism.com",1,1,171,1,0,0,0,1,1,0,0
"486","drwilco.net",1,1,204,1,0,0,0,1,1,0,0
"487","dsdeurne.nl",6,6,886,1,0.740406320541761,0,0,0,0,0,0
"488","dt-it.nl",2,2,85,1,1,0,0,0,0,0,1
"489","dtd.nl",1,1,173,1,0.930635838150289,0.069364161849711,0,0,0,0,1
"490","dumco.nl",1,1,37,1,0.918918918918919,0.0810810810810811,0,0,0,0,1
"491","duocast.net",1,1,139,1,1,0,0,0,0,0,1
"492","dupaco.nl",1,1,1,1,1,0,0,1,0,0,0
"493","dutchsalads.nl",1,1,201,1,1,0,0,0,0,0,1
"494","dutchwyse.com",1,1,1,1,1,0,0,1,0,0,0
"495","dvdh.cloud",1,1,3,1,1,0,0,1,0,0,0
"496","dwp.im",1,1,62,1,0,0,0,1,1,0,0
"497","dynamicvision.nl",1,1,114,1,1,0,0,1,0,0,0
"498","e-active.nl",1,1,146,1,0,0,0,0,0,1,0
"499","easynet.nl",6,8,1355,0.723247232472325,0,0,0,0,0,0,0
"500","eatspam.nl",1,1,91,1,1,0,1,0,0,0,1
"501","ebotex.nl",1,1,31,1,0.967741935483871,0.032258064516129,0,0,0,0,1
"502","ebrs.nl",1,1,186,1,1,0,0,0,0,0,1
"503","ecesecurity.nl",1,1,206,1,0.907766990291262,0.0922330097087379,0,0,0,0,1
"504","ecodedi.com",1,1,2,1,1,0,0,1,0,0,0
"505","ecodrukkers.nl",1,1,139,1,0,0,0,0,0,1,0
"506","ecomation.nl",1,1,188,1,0,1,0,1,0,0,0
"507","ecoware.nl",1,1,152,1,0.611842105263158,0.388157894736842,0,0,0,0,1
"508","edacom.nl",1,1,173,1,0.872832369942196,0.127167630057803,0,0,0,0,1
"509","edkhome.nl",1,1,1,1,0,0,0,0,0,1,0
"510","edpnet.net",72,72,2521,1,0,0,0,0,0,0,0
"511","educoaching.ru",1,1,10,1,0,0.4,0.2,0.6,0,0,0.4
"512","edutel.nl",42,42,3871,1,0,0,0,0,0,0,0
"513","ef-service.nl",41,41,2601,1,0,0,0,0,0,0,0
"514","efaa.nl",1,1,122,1,0.770491803278688,0.229508196721311,0,0,0,0,1
"515","efbq.nl",1,1,162,1,0.882716049382716,0.111111111111111,0,0,0,0.00617283950617284,0.993827160493827
"516","efnet.org",1,1,88,1,1,0,0,0,0,0,1
"517","egcs.nl",1,1,156,1,0.826923076923077,0.173076923076923,0,0,0,0,1
"518","ehd.nl",1,1,57,1,0.754385964912281,0.245614035087719,0,0,0,0,1
"519","ek-hosting.info",1,1,160,1,0,1,0,0,0,0,1
"520","ek-hosting.net",16,20,3066,0.809849967384214,0,0,0,0,0,0,0
"521","ekibv.nl",1,1,210,1,0.828571428571429,0.171428571428571,0,0,0,0,1
"522","elastic.nl",1,1,30,1,1,0,0,1,0,0,0
"523","elegastbeheer.nl",1,1,127,1,0.755905511811024,0.244094488188976,0,0,0,0,1
"524","elektro-enkhuizen.nl",1,1,209,1,0.923444976076555,0.076555023923445,0,0,0,0,1
"525","emptyspace.nl",2,2,55,1,0,0,0,0,0,0,0
"526","enetco.nl",1,1,149,1,0,0,0,0,0,1,0
"527","enternext.com",4,4,142,1,0,0,0,0,0,0.992957746478873,0
"528","entreaonderwijs.nl",1,1,181,1,0.906077348066298,0.0939226519337017,0,0,0,0,1
"529","entreeding.com",1,1,207,1,0,0,0,1,1,0,0
"530","epsilonhosting.nl",4,8,343,0.795918367346939,0,0,0,0,0,0,0
"531","eqservers.com",2,32,4447,0.0978187542163256,0,0.0523948729480549,0.0510456487519676,0,0,0,0.987182370137171
"532","equinix.net",10,11,1769,0.995477671000565,0,0,0,0,0,0,1
"533","equipezorgbedrijven.nl",1,1,207,1,1,0.0193236714975845,0,0,0,0,1
"534","eqweb.nl",5,5,1021,1,1,0,0,0,0,0,0
"535","eray.eu",1,1,54,1,0.740740740740741,0.259259259259259,0,0,0,0,1
"536","erkemederstrand.nl",1,1,202,1,0,0,0,0,0,1,0
"537","ernashipping.com",1,1,182,1,0,0,0,1,1,0,0
"538","eronity.com",1,2,416,0.521634615384615,0,0,0,0,0,1,0
"539","esa.int",4,4,85,1,0,0,0,0,0,0,0
"540","esourceadmins.us",1,2,2,1,0,0,0,1,1,0,0
"541","esprittele.com",9,9,1141,1,0,0,0,0,0,0,0
"542","estatehosting.nl",1,1,154,1,0.876623376623377,0.123376623376623,0,0,0,0,1
"543","esti-host.com",1,1,21,1,0,0,0,1,1,0,0
"544","estrate.nl",1,1,199,1,0,1,0,1,0,0,0
"545","ettbud.se",1,1,65,1,0,0,0,1,1,0,0
"546","eunx.net",3,3,275,1,0,0,0,0,0,1,0
"547","euro-index.nl",1,1,194,1,1,0,0,0,0,0,1
"548","eurobesthosting.com",4,4,651,1,0,0,0,0,0,0,0
"549","eurokoffie.com",1,1,183,1,1,0,0,0,0,0,1
"550","europe-rec.com",1,1,186,1,0.903225806451613,0.0967741935483871,0,0,0,0,1
"551","eurorings.net",3,3,279,1,0,0,0,0,0,0,0
"552","evac-valves.com",1,1,185,1,0.881081081081081,0.118918918918919,0,0,0,0,1
"553","evart.link",1,1,32,1,0,0,0,1,1,0,0
"554","eventict.nl",1,1,23,1,1,0,0,0.0434782608695652,0,0,0.956521739130435
"555","evo-jx20-1",1,1,3,1,0,0,0,0,0,1,0
"556","exam.com",1,1,5,1,0,0.4,0,0.6,0,0,0.4
"557","example.com",2,3,121,1,0,0,0,0,0,0,0
"558","exaservers.com",1,1,151,1,0.986754966887417,0,0,0,0,0.0132450331125828,0.986754966887417
"559","excelnode.com",1,6,90,0.166666666666667,0,0,0,1,1,0,0
"560","exception.nl",3,3,411,1,0,0,0,0,0,0,0
"561","exchangerates.su",1,1,204,1,0,0,0,1,1,0,0
"562","exclusief.net",5,5,111,1,1,0,1,0,0,0,1
"563","exset.com",1,1,209,1,1,0,0,0,0,0,1
"564","extraip.net",1,10,549,0.391621129326047,0.959927140255009,0.0400728597449909,0,0.60655737704918,0,0,0.39344262295082
"565","extraip.nl",1,1,132,1,1,0,0,1,0,0,0
"566","ezidata.nl",2,2,28,1,1,0,0,0,0,0,0
"567","faciladmin.com",1,1,203,1,0,0,0,1,1,0,0
"568","factor12.nl",1,1,204,1,0.887254901960784,0.112745098039216,0,0,0,0,1
"569","falkenaschilders.nl",1,1,54,1,0.814814814814815,0.185185185185185,0,0,0,0,1
"570","faradars.org",1,1,81,1,0,1,1,0,0,0,1
"571","farinmail.ir",1,1,7,1,1,0,0,0,0,0,1
"572","farmdairy.com",1,1,104,1,0.980769230769231,0,0,0,0,0.0192307692307692,0.980769230769231
"573","fawo.nl",1,1,9,1,0,0,0,1,1,0,0
"574","fayntic.com",2,3,198,0.974747474747475,1,0,0,0,0,0,1
"575","fcsrv.net",3,3,124,1,0,0,0,0,0,0,0
"576","fellownet.nl",1,1,57,1,1,0,0,1,0,0,0
"577","ferytaleshosting1.com",1,1,177,1,0.451977401129944,0.548022598870056,0,0.548022598870056,0,0,0.451977401129944
"578","fette-luder.info",1,1,156,1,1,0,0,1,0,0,0
"579","feyter.com",1,1,198,1,0.636363636363636,0.363636363636364,0,0,0,0,1
"580","fgbfacilitygroup.nl",1,1,100,1,1,0,0,0,0,0,1
"581","fiber.nl",21,21,1417,1,0,0,0,0,0,0,0
"582","fiber010.nl",1,1,9,1,1,0,0,1,0,0,0
"583","fiberworld.nl",1,1,73,1,0.986301369863014,0,0,1,0,0,0
"584","fiddelaers.nl",1,1,26,1,1,0,0,0,0,0,1
"585","finalhosting.nl",1,1,76,1,1,0,0,0,0,0,1
"586","finalisten.se",1,1,1,1,1,0,0,0,0,0,1
"587","fivecool.net",1,1,207,1,0.942028985507246,0.0579710144927536,0,0,0,0,1
"588","flex2go.nl",2,2,404,1,1,0,0,0,0,0,1
"589","flexibeleuropebv.nl",1,1,1,1,1,0,0,0,0,0,1
"590","flexwork.nl",1,1,199,1,0,1,0,0,0,0,1
"591","flipneus.net",1,1,5,1,0,0,0,0,0,1,0
"592","flippingz.info",1,1,24,1,0,0,0,1,1,0,0
"593","flirtmailer.info",2,2,376,1,0,0,0,0,0,0.51063829787234,0
"594","florensis.com",1,1,209,1,1,0,0,0,0,0,1
"595","flow-company.nl",1,1,198,1,0.868686868686869,0.131313131313131,0,0,0,0,1
"596","flowers-media.com",2,2,161,1,0,1,0,0,0,0,1
"597","flussonic.com",1,1,173,1,0,0,0,1,1,0,0
"598","fmt32.net",1,1,6,1,0,1,0,0,0,0,1
"599","fnv.net",3,3,410,1,0.0560975609756098,0,1,1,0,0,0
"600","focus-on-u.nl",1,1,207,1,0.381642512077295,0,0,0,0,0.618357487922705,0.381642512077295
"601","fok.nl",3,3,436,1,0,0,0,0,0,1,0
"602","fontys-educatief.nl",2,2,60,1,0,0,0,1,1,0,0
"603","forcys.nl",1,1,207,1,0.710144927536232,0.289855072463768,0,0,0,0,1
"604","foundationapi.com",2,3,3,0.666666666666667,0.666666666666667,0,0,1,0,0,0
"605","foxgl.nl",1,1,78,1,0.846153846153846,0.153846153846154,0,0,0,0,1
"606","foxxl.nl",1,1,53,1,0,0,0,0,0,1,0
"607","fpp-bv.nl",1,1,198,1,1,0,0,1,0,0,0
"608","fr-ix.nl",6,6,796,1,0,0,0,0,0,0,0
"609","freez.it",1,1,105,1,0,0,0,0,0,1,0
"610","fresh-trans.nl",1,1,130,1,1,0,0,0,0,0,1
"611","frigobreda.com",1,1,1,1,0,0,0,0,0,1,0
"612","fssolutions.nl",1,1,169,1,0.923076923076923,0.0769230769230769,0,0,0,0,1
"613","fsupport.nl",1,1,162,1,1,0,0,0,0,0,1
"614","ftth-083-247-086-151solcon.nl",1,1,17,1,1,0,0,1,0,0,0
"615","fusixnetworks.net",1,6,581,0.308089500860585,0.187607573149742,0.519793459552496,0,0.187607573149742,0,0.292598967297762,0.519793459552496
"616","futuresgroup.nl",1,1,12,1,0,0,0,1,1,0,0
"617","fxw.nl",9,9,1192,1,0,0,0,0,0,0,0
"618","g2a.com",1,1,3,1,1,0,0,0,0,0,1
"619","galeoconsulting.com",1,1,206,1,1,0,0,1,0,0,0
"620","garagegijsberts.nl",1,1,198,1,0.919191919191919,0.0808080808080808,0,0,0,0,1
"621","gblx.net",10,10,772,1,0,0,0,0,0,0,0
"622","gebrheinhuis.com",1,1,154,1,1,0,0,0,0,0,1
"623","gedichten.nl",1,1,147,1,1,0,0,1,0,0,0
"624","gen.tr",1,1,52,1,0,0,0,1,1,0,0
"625","genasys.nl",1,1,138,1,0,0,0,1,1,0,0
"626","generalst.net",1,1,48,1,1,0,0,0,0,0,1
"627","geniaalinstaal.nl",1,1,41,1,0.829268292682927,0.170731707317073,0,0,0,0,1
"628","genox.nl",1,1,19,1,0,0,0,1,1,0,0
"629","geoict.nl",1,1,201,1,0.721393034825871,0.278606965174129,0,0,0,0,1
"630","geoserve.nl",1,1,31,1,0,0,0,1,1,0,0
"631","getnoticed.nl",1,1,206,1,0,0,0,1,1,0,0
"632","gewerblich.info",1,1,3,1,0,0,0,0,0,1,0
"633","gewoon-it.net",1,1,1,1,1,0,0,0,0,0,1
"634","gewoongoedwerken.nl",1,1,189,1,0,0,0,1,1,0,0
"635","ggdzhw.nl",1,1,96,1,1,0,0,1,0,0,0
"636","ghost-central.com",1,1,164,1,0.963414634146341,0.0365853658536585,0,0,0,0,1
"637","giganews.com",9,9,1844,1,0,0,0,0,0,1,0
"638","gildewerk.com",1,2,120,0.908333333333333,0.825,0.0416666666666667,0,0,0,0.133333333333333,0.866666666666667
"639","gilinspector.ru",1,1,38,1,0,0,0,1,1,0,0
"640","gl-ix.net",8,26,468,0.264957264957265,0,0,0,0,0,1,0
"641","gl-ix.nl",1,1,17,1,0,0,0,0,0,1,0
"642","glasbest.com",1,1,204,1,0.872549019607843,0.127450980392157,0,0,0,0,1
"643","glashandelwolf.nl",1,1,68,1,0.823529411764706,0.176470588235294,0,0,0,0,1
"644","glaslokaal.nl",152,152,26376,1,0,0,0,0,0,0,1
"645","glasoperator.nl",867,870,67393,0.999065184811479,0,0,0,0,0,0,0
"646","glasscannon.ru",1,1,212,1,0,0,0,1,1,0,0
"647","glasvezelringhilversum.nl",1,1,206,1,1,0.00970873786407767,0,0,0,0,1
"648","global-e.nl",7,7,1096,1,0,0,0,0,0,0,0
"649","global-ict.nl",1,1,12,1,1,0,0,0,0,0,1
"650","global-ix.ru",2,2,14,1,0,0,0,0,0,0,0
"651","global-layer.com",1,7,55,1,1,0,0,0,0,0,1
"652","globalconnex.net",2,2,201,1,0,0,0,0,0,0,0
"653","globalindustry.nl",1,1,205,1,0,1,0,0,0,0,1
"654","goedvoorbereidbouwen.com",1,1,25,1,1,0,0,1,0,0,0
"655","goedvoorbereidbouwen.nl",1,1,26,1,1,0,0,1,0,0,0
"656","gogrid.com",4,4,447,1,0,0,0,0,0,0,0
"657","gomebox.com",1,1,144,1,0,0,0,0,0,1,0
"658","gondelach.nl",1,1,26,1,1,0,0,0,0,0,1
"659","goodcentr.ru",1,1,203,1,0,0,0,1,1,0,0
"660","google.com",1,1,208,1,0.995192307692308,0,0,0,0,0.00480769230769231,0.995192307692308
"661","goteo.org",1,1,146,1,0,0,0,1,1,0,0
"662","gpocss.com",1,1,2,1,0,0,0,0,0,1,0
"663","granddns.info",1,1,53,1,0,0,0,1,1,0,0
"664","grando.nl",1,1,208,1,0.927884615384615,0.0721153846153846,0,0,0,0,1
"665","greeni.nl",2,2,387,1,0,0,0,0,0,1,0
"666","grib.us",1,1,199,1,0,0.105527638190955,0,0.899497487437186,0,0,0.100502512562814
"667","grm.nl",1,1,32,1,1,0,0,0,0,0,1
"668","grmexpertises.nl",1,1,32,1,1,0,0,0,0,0,1
"669","grnst.com",1,1,148,1,1,0,0,0,0,0,1
"670","growingminds.nl",1,6,910,0.213186813186813,0,0,0,1,1,0,0
"671","gthvenray.nl",1,1,23,1,1,0,0,1,0,0,0
"672","gtt.net",12,15,1081,0.67622571692877,0,0,0,0,0,0,0
"673","gunneman.nl",1,1,195,1,1,0,0,0,0,0,1
"674","guru-techs.ru",1,1,4,1,1,0,0,1,0,0,0
"675","h4hosting.eu",1,1,207,1,0.922705314009662,0.0772946859903382,0,0,0,0,1
"676","haagwonen.nl",1,1,22,1,1,0,0,0,0,0,1
"677","haciend.com",1,1,194,1,0,0,0,0.994845360824742,0,0.00515463917525773,0
"678","had.su",4,4,149,1,0,0,0,0,0,0,0
"679","hairplusmc.nl",1,1,204,1,0.916666666666667,0.0833333333333333,0,0,0,0,1
"680","halm.nl",1,1,203,1,0.0246305418719212,0.975369458128079,0,0,0,0,1
"681","happycopy.nl",1,1,36,1,0.694444444444444,0.305555555555556,0,0,0,0,1
"682","haprovider.nl",2,2,377,1,0,0,0,0.994694960212202,0.994694960212202,0,0
"683","harolds.nl",1,1,183,1,0,0,1,1,0,0,0
"684","hazet.nl",1,1,103,1,0.883495145631068,0.116504854368932,0,0,0,0,1
"685","hbk2000.nl",1,1,172,1,0,0,0,0,0,1,0
"686","hccnet.nl",2,2,369,1,1,0,0,0,0,0,1
"687","hdprecision.nl",1,1,199,1,1,0,0,1,0,0,0
"688","he.net",2,2,181,1,1,0,0,0,0,0,1
"689","heavac.nl",1,1,4,1,1,0,0,0,0,0,1
"690","heberjahiz.com",10,10,1881,1,0,0,0,1,0,0,0
"691","hein-ict.nl",1,1,120,1,0.9,0.1,0,0,0,0,1
"692","heldenvannu.net",175,176,25564,0.996596776717259,0,0,0,0,0,0,0
"693","hellodialog.com",1,1,207,1,0,1,0,1,0,0,0
"694","heluto.nl",1,1,200,1,1,0,0,0,0,0,1
"695","hendrikxdakengevel.nl",1,1,204,1,1,0,0,1,0,0,0
"696","henko-ags.nl",1,1,149,1,0.697986577181208,0.302013422818792,0,0,0,0,1
"697","henkschram.nl",1,1,85,1,1,0,0,1,0,0,0
"698","henktroeijen.nl",1,1,203,1,0.758620689655172,0.241379310344828,0,0,0,0,1
"699","herdi.nl",1,1,195,1,0.866666666666667,0.133333333333333,0,0,0,0,1
"700","hertzinger.net",1,1,197,1,0.898477157360406,0.101522842639594,0,0,0,0,1
"701","hetcustomercarecenter.nl",1,1,181,1,0,0,0,1,1,0,0
"702","hetnet.nl",268,268,26951,1,0,0,0,0,0,0,0
"703","hetveer.nl",1,1,117,1,0.401709401709402,0.598290598290598,0,0,0,0,1
"704","heutsverzekeringen.nl",1,1,208,1,0.875,0.125,0,0,0,0,1
"705","high5.nl",4,4,4,1,0,0,0,0,0,1,0
"706","hilftelecom.nl",1,2,38,0.552631578947368,0,0.0263157894736842,0,0.973684210526316,0,0,0.0263157894736842
"707","hirschmann.nl",1,1,159,1,1,0,0,1,0,0,0
"708","hitlerattacks.com",1,1,23,1,0,0,0,0,0,1,0
"709","hmbgroep.nl",1,1,74,1,0.918918918918919,0.0810810810810811,0,0,0,0,1
"710","hml.nl",2,2,334,1,0.883233532934132,0.11377245508982,0,0,0,0,0.997005988023952
"711","hoctraining.nl",1,1,80,1,0.8,0.2,0,0,0,0,1
"712","hoeberechts.nl",1,1,117,1,0.897435897435897,0.102564102564103,0,0,0,0,1
"713","hoezokado.nl",1,1,204,1,0,0,0,1,1,0,0
"714","hoffelijk.nl",1,1,64,1,1,0,0,0,0,0,1
"715","holdinga-almere.nl",1,1,205,1,0.917073170731707,0.0829268292682927,0,0,0,0,1
"716","hollandduurzaam.nl",1,1,167,1,1,0,0,0,0,0,1
"717","holstweb.net",1,1,169,1,0,0,0,1,1,0,0
"718","hondsrugcollege.nl",1,1,191,1,0,0,0,0,0,1,0
"719","host-79-143-216-35.local",1,1,22,1,0.909090909090909,0,0,0.0909090909090909,0,0,0.909090909090909
"720","host-palace.com",1,35,4720,0.0483050847457627,0.858262711864407,0.00847457627118644,0.00847457627118644,0,0,0.133262711864407,0.866737288135593
"721","hostdoze.com",1,2,283,0.745583038869258,0.985865724381625,0,0,0,0,0.0141342756183746,0.985865724381625
"722","hostdzire.com",1,4,205,0.746341463414634,0,0.204878048780488,0.204878048780488,0.795121951219512,0,0,0.204878048780488
"723","hosted-by-hostdzire.com",1,1,10,1,0,0,0,0.5,0,0.5,0
"724","hosted-by-i3d.net",1,1,190,1,1,0,0,0,0,0,1
"725","hosted-by-itldc.com",10,10,13,1,1,0,0,1,0,0,0
"726","hosted-by-leaseweb.com",1,8,1511,0.14956982131039,0.655857048312376,0.13567174056916,0,0.13567174056916,0,0.208471211118465,0.655857048312376
"727","hosted-hostlim.eu",1,1,11,1,1,0,0,0,0,0,1
"728","hosted-hostslim.eu",1,10,294,0.523809523809524,0.479591836734694,0,0,0.360544217687075,0.350340136054422,0.166666666666667,0.472789115646259
"729","hosted.nl",1,1,33,1,1,0,0,1,0,0,0
"730","hostghost.nl",1,2,351,0.521367521367521,0.495726495726496,0,0,0,0,0.504273504273504,0.495726495726496
"731","hostia.us",4,4,108,1,0.916666666666667,0,0,1,0,0,0
"732","hosting-concepts.nl",4,4,262,1,1,0,0,0,0,0,1
"733","hosting4u.nl",5,5,455,1,0,0,0,0,0,0,0
"734","hostingpower.nl",1,1,210,1,0.866666666666667,0.133333333333333,0,0,0,0,1
"735","hostingu2.nl",2,2,226,1,0.97787610619469,0,0,0,0,0,1
"736","hostje.nl",3,3,618,1,0,0,0,1,1,0,0
"737","hostlife.net",2,3,332,0.894578313253012,0,0,0,1,1,0,0
"738","hostmax.nl",1,1,1,1,1,0,0,1,0,0,0
"739","hostry.com",1,1,8,1,1,0,0,1,0,0,0
"740","hostsailor.com",83,83,11869,1,0,0,0,0,0,0,0
"741","hostyourserver.eu",2,3,617,0.690437601296596,1,0,1,0,0,0,1
"742","hotsheetpro.com",1,1,25,1,1,0,0,1,0,0,0
"743","houseofhope.nl",2,2,408,1,0.803921568627451,0.196078431372549,0,0,0,0,1
"744","hovago.com",1,1,171,1,0,0,0,1,0,0,0
"745","hoverbus.top",1,1,44,1,1,0,0,0,0,0,1
"746","hqserver.net",6,6,109,1,0,0,0,0,0,0,0
"747","hrtelecom.nl",1,1,204,1,0.901960784313726,0.0980392156862745,0,0,0,0,1
"748","hstar.nl",1,1,203,1,1,0,0,0,0,0,1
"749","huge-dns.com",1,1,27,1,0,0,0,0.037037037037037,0,0.962962962962963,0
"750","huizinga.nl",1,1,188,1,0,0,0,0,0,1,0
"751","hulsbosch.nl",1,1,167,1,0.910179640718563,0.0898203592814371,0,0,0,0,1
"752","human-insight.eu",1,1,146,1,0.856164383561644,0.143835616438356,0,0,0,0,1
"753","hummelrecycling.nl",1,1,19,1,1,0,1,0,0,0,1
"754","hvdh.nl",1,1,192,1,0.916666666666667,0.0833333333333333,0,0,0,0,1
"755","hypercache.pw",1,1,42,1,0,0,0,1,1,0,0
"756","hyperfilter.com",2,8,10,0.9,0,1,0,0,0,0,1
"757","hyperhost.name",1,1,1,1,0,0,0,0,0,1,0
"758","hz.nl",1,1,188,1,1,0,0,1,0,0,0
"759","hzvv.nl",1,1,20,1,1,0,0,0,0,0,1
"760","i-s-e.nl",1,6,1219,0.185397867104184,0.164068908941756,0,0,0.00164068908941756,0,0.834290401968827,0.164068908941756
"761","i2dot.net",3,3,8,1,0,0,0,1,0,0,0
"762","i3d.net",2,159,24062,0.0189510431385587,0.219931842739589,0,0,0.71361482836007,0,0,0.227994347934503
"763","i4ip.eu",1,1,210,1,0.90952380952381,0.0904761904761905,0,0,0,0,1
"764","i4ip.net",22,23,3472,1,0,0,0,0,0,0,0
"765","iae.nl",7,7,639,1,0.608763693270736,0,0,0,0,0,0
"766","iaf.nl",2,2,156,1,0,0,0,0,0,0,0
"767","ic-hosting.nl",2,2,411,1,1,0,0,0,0,0,1
"768","icehosting.nl",1,1,202,1,1,0,0,1,0,0,0
"769","iconyachts.eu",1,1,200,1,0,0,1,0,0,0,1
"770","icpcore.net",1,1,119,1,0.831932773109244,0.168067226890756,0,0,0,0,1
"771","ictcomplete.nl",2,2,403,1,1,0,0,0,0,0,1
"772","ictgrouphhw.nl",1,1,205,1,0,0,0,0,0,1,0
"773","ictprovider.nl",17,17,2995,1,0.981302170283806,0,0,0,0,0,1
"774","idbedrijfsmakelaars.nl",1,1,10,1,0.7,0.3,0,0,0,0,1
"775","idfnv.net",15,27,439,0.949886104783599,0,0,0.671981776765376,0.817767653758542,0,0,0
"776","ifgbv.com",1,1,177,1,0.836158192090395,0.163841807909605,0,0,0,0,1
"777","ifs-debiteurenbeheer.nl",1,1,104,1,0.884615384615385,0.115384615384615,0,0,0,0,1
"778","ig.ovhss",1,1,1,1,0,0,0,0,0,1,0
"779","ikl-bv.nl",1,1,72,1,0.888888888888889,0.111111111111111,0,0,0,0,1
"780","ilwebmaster21.com",1,1,2,1,0,1,1,0,0,0,1
"781","imatrix.nl",15,15,785,1,0,0,0,0,0,0,0
"782","immohali.be",1,1,202,1,1,0,0,1,0,0,0
"783","in-addr.arpa",36,42,1300,0.937692307692308,0,0,0,0,0,0,0
"784","in2ip.nl",1,1,173,1,0,0,0,0,0,1,0
"785","in4.hr",1,1,51,1,0,1,1,0,0,0,1
"786","inconel.nl",1,1,37,1,0.0810810810810811,0.27027027027027,0,0,0,0.648648648648649,0.351351351351351
"787","infernoz.org",1,1,128,1,0.859375,0.140625,0,0,0,0,1
"788","infine.nl",1,1,65,1,0.892307692307692,0.107692307692308,0,0,0,0,1
"789","infinityfour.net",1,1,72,1,0,0,0,0,0,1,0
"790","infopact.nl",846,846,85135,1,0,0,0,0,0,0,0
"791","infosecmag.ro",1,1,4,1,0.5,0,0,0,0,0.5,0.5
"792","infra24.nl",1,1,50,1,1,0,0,0,0,0,1
"793","infracom.nl",2,2,133,1,0,0,0,0,0,0,0
"794","infrait.net",2,2,373,1,0.793565683646113,0.482573726541555,0,0,0,0,1
"795","inquota.nl",1,7,24,0.833333333333333,0,0,0.875,1,0,0,0
"796","insmilitia.com",1,1,104,1,0,0,0,1,1,0,0
"797","insolvit.nl",1,1,114,1,0.763157894736842,0.236842105263158,0,0,0,0,1
"798","inspiringnetworks.com",1,1,86,1,1,0,0,0,0,0,1
"799","inter-hosting.nl",1,1,170,1,0,0,0,1,1,0,0
"800","intercourseteaching.com",4,4,83,1,1,0,0,1,0,0,0
"801","interdaad.nl",1,1,116,1,0,0,0,0,0,1,0
"802","interhostsolutions.be",1,1,202,1,0,0,0,0,0,1,0
"803","interka.pl",1,1,6,1,1,0,1,0,0,0,1
"804","interkenrenetym.com",1,1,176,1,0.301136363636364,0,0,0,0,0.698863636363636,0.301136363636364
"805","intermax-dsl.nl",1,1,123,1,0.902439024390244,0.032520325203252,0,0.0975609756097561,0,0,0.902439024390244
"806","intermax.nl",2,2,104,1,1,0,0,0,0,0,1
"807","internl.net",22,23,1834,0.914940021810251,0,0,0,0,0,0,0
"808","interpartsonline.nl",1,1,1,1,1,0,0,1,0,0,0
"809","interstilbv.nl",1,1,208,1,0.918269230769231,0.0817307692307692,0,0,0,0,1
"810","interstroom.nl",2,2,348,1,0,0,0,0,0,0,0
"811","intersurfibra.es",18,18,21,1,1,0,0,1,0,0,0
"812","interventus.nl",1,1,201,1,0.935323383084577,0.0646766169154229,0,0,0,0,1
"813","intouch.net",1,1,1,1,1,0,0,0,0,0,1
"814","intovps.com",5,5,138,1,0,0,0,0,0,0,0
"815","introweb.nl",89,89,13433,1,0,0,0,0,0,0,0
"816","inxy.host",2,2,272,1,0,0,0,1,1,0,0
"817","iothings.nl",1,1,188,1,1,0,0,1,0,0,0
